fingerprint,gateway,oui,payload,rssi,sequence,snr,spreading,timestamp,date/time (pacific),payload (decoded),Sequence number,Lat,Long,Name,date/time,SNR
277859077,quick paisley pony,1,MDAwMDEsMzcuNzk0ODUsLTEyMi4zOTI2MAA=,-117,0,-9.25,SF10,1577222815,26:55.1,"00001,37.79485,-122.39260",1,37.79485,-122.3926,1,26:55.1,-6.75
1464387741,perfect charcoal albatross,1,MDAwMDIsMzcuNzk0OTQsLTEyMi4zOTI1NgA=,-114,1,-14.25,SF10,1577222824,27:03.7,"00002,37.79494,-122.39256",2,37.79494,-122.39256,1,27:04.6,-9
,,,,,,,,,,,3,37.79503,-122.39243,,,
3093729387,perfect charcoal albatross,1,MDAwMDQsMzcuNzk1MTIsLTEyMi4zOTIzNQA=,-115,3,-4.75,SF10,1577222844,27:23.6,"00004,37.79512,-122.39235",4,37.79512,-122.39235,1,27:23.6,-9
2642468525,perfect charcoal albatross,1,MDAwMDUsMzcuNzk1MjIsLTEyMi4zOTIyOAA=,-112,4,-5.5,SF10,1577222854,27:34.0,"00005,37.79522,-122.39228",5,37.79522,-122.39228,1,27:34.0,-3.5
,,,,,,,,,,,6,37.79524,-122.39227,,,
,,,,,,,,,,,7,37.79524,-122.39227,,,
,,,,,,,,,,,8,37.79525,-122.39226,,,
,,,,,,,,,,,9,37.79525,-122.39226,,,
755544648,brave butter unicorn,1,MDAwMDEsMzcuNzk1MjUsLTEyMi4zOTIyNgA=,-102,0,-8,SF10,1577222960,29:20.3,"00001,37.79525,-122.39226",1,37.79525,-122.39226,0,29:20.3,-8
3462123907,brave butter unicorn,1,MDAwMDIsMzcuNzk1MjUsLTEyMi4zOTIyNgA=,-91,1,-1.5,SF10,1577222970,29:29.8,#ERROR!,2,37.79525,-122.39226,1,29:30.6,-9.75
1606841615,electric pickle marmot,1,MDAwMDMsMzcuNzk1MjUsLTEyMi4zOTIyNgA=,-120,2,-14.5,SF10,1577222981,29:41.0,#ERROR!,3,37.79525,-122.39226,2,29:40.1,-3.75
,,,,,,,,,,,4,37.79525,-122.39226,,,
,,,,,,,,,,,5,37.79525,-122.39224,,,
1350282700,perfect charcoal albatross,1,MDAwMDYsMzcuNzk1MjEsLTEyMi4zOTIyMAA=,-116,5,-2.25,SF10,1577223010,30:10.4,"00006,37.79521,-122.39220",6,37.79521,-122.3922,2,30:10.4,-4.25
,,,,,,,,,,,7,37.79515,-122.39211,,,
,,,,,,,,,,,8,37.79513,-122.39218,,,
,,,,,,,,,,,9,37.79514,-122.39212,,,
4289251200,brave butter unicorn,1,MDAwMTAsMzcuNzk1MDksLTEyMi4zOTIyMAA=,-97,9,-3.5,SF10,1577223050,30:50.1,"00010,37.79509,-122.39220",10,37.79509,-122.3922,0,30:50.1,-3.5
3411006356,brave butter unicorn,1,MDAwMTEsMzcuNzk1MDEsLTEyMi4zOTIzNQA=,-99,10,-7.25,SF10,1577223060,30:59.6,"00011,37.79501,-122.39235",11,37.79501,-122.39235,0,30:59.6,-7.25
1029282231,quick paisley pony,1,MDAwMTIsMzcuNzk0OTIsLTEyMi4zOTI0NgA=,-115,11,-7.5,SF10,1577223070,31:10.0,#ERROR!,12,37.79492,-122.39246,2,31:10.0,-3.5
,,,,,,,,,,,13,37.79483,-122.39259,,,
1401855268,brave butter unicorn,1,MDAwMTQsMzcuNzk0NzUsLTEyMi4zOTI3NQA=,-104,13,-2.5,SF10,1577223090,31:29.9,"00014,37.79475,-122.39275",14,37.79475,-122.39275,0,31:29.9,-2.5
543471693,quick paisley pony,1,MDAwMTUsMzcuNzk0NjksLTEyMi4zOTI4OAA=,-114,14,-8,SF10,1577223100,31:40.2,"00015,37.79469,-122.39288",15,37.79469,-122.39288,0,31:40.2,-8
653534322,brave butter unicorn,1,MDAwMTYsMzcuNzk0NTksLTEyMi4zOTMwMQA=,-97,15,2.25,SF10,1577223110,31:49.7,#ERROR!,16,37.79459,-122.39301,2,31:49.7,-3
2771471565,perfect charcoal albatross,1,MDAwMTcsMzcuNzk0NTQsLTEyMi4zOTMwNQA=,-111,16,-5.5,SF10,1577223120,32:00.1,"00017,37.79454,-122.39305",17,37.79454,-122.39305,1,32:00.1,-3.75
2767027913,quick paisley pony,1,MDAwMTgsMzcuNzk0NTUsLTEyMi4zOTMwNwA=,-109,17,0.25,SF10,1577223130,32:09.6,"00018,37.79455,-122.39307",18,37.79455,-122.39307,1,32:09.6,-6
320140495,quick paisley pony,1,MDAwMTksMzcuNzk0NTQsLTEyMi4zOTMwNwA=,-104,18,-2.5,SF10,1577223140,32:20.0,#ERROR!,19,37.79454,-122.39307,1,32:20.0,3.75
3760693216,quick paisley pony,1,MDAwMjAsMzcuNzk0NTQsLTEyMi4zOTMwNwA=,-114,19,0.25,SF10,1577223150,32:30.3,"00020,37.79454,-122.39307",20,37.79454,-122.39307,1,32:30.3,-1.5
3187095536,quick paisley pony,1,MDAwMjEsMzcuNzk0NTQsLTEyMi4zOTMwNQA=,-114,20,0.5,SF10,1577223160,32:39.8,#ERROR!,21,37.79454,-122.39305,1,32:39.8,-2.25
2855294522,quick paisley pony,1,MDAwMjIsMzcuNzk0NTQsLTEyMi4zOTMwNQA=,-112,21,1.5,SF10,1577223170,32:50.2,#ERROR!,22,37.79454,-122.39305,1,32:50.2,-7.25
37764508,brave butter unicorn,1,MDAwMjMsMzcuNzk0NTQsLTEyMi4zOTMwNwA=,-97,22,-1,SF10,1577223180,32:59.7,#ERROR!,23,37.79454,-122.39307,2,32:59.7,-0.5
721529092,brave butter unicorn,1,MDAwMjQsMzcuNzk0NTMsLTEyMi4zOTMwNwA=,-94,23,-4.5,SF10,1577223190,33:10.1,"00024,37.79453,-122.39307",24,37.79453,-122.39307,1,33:10.1,-2.5
406064387,brave butter unicorn,1,MDAwMjUsMzcuNzk0NTMsLTEyMi4zOTMwNwA=,-96,24,1,SF10,1577223200,33:19.6,#ERROR!,25,37.79453,-122.39307,1,33:19.6,-0.75
,,,,,,,,,,,26,37.79453,-122.39307,,,
3095833796,brave butter unicorn,1,MDAwMjcsMzcuNzk0NTQsLTEyMi4zOTMwNAA=,-99,26,-1.25,SF10,1577223220,33:40.3,#ERROR!,27,37.79454,-122.39304,2,33:40.3,0.25
243914761,brave butter unicorn,1,MDAwMjgsMzcuNzk0NTQsLTEyMi4zOTMwNQA=,-91,27,-3.5,SF10,1577223230,33:49.8,#ERROR!,28,37.79454,-122.39305,0,33:49.8,-3.5
3466483287,quick paisley pony,1,MDAwMjksMzcuNzk0NTMsLTEyMi4zOTMwNwA=,-120,28,1.75,SF10,1577223240,34:00.2,"00029,37.79453,-122.39307",29,37.79453,-122.39307,2,34:00.2,-3
4209539400,quick paisley pony,1,MDAwMzAsMzcuNzk0NzIsLTEyMi4zOTMzNgA=,-112,29,-12,SF10,1577223250,34:09.7,#ERROR!,30,37.79472,-122.39336,2,34:09.7,0.75
3109505448,brave butter unicorn,1,MDAwMzEsMzcuNzk0OTksLTEyMi4zOTM2NQA=,-89,30,3,SF10,1577223260,34:20.1,"00031,37.79499,-122.39365",31,37.79499,-122.39365,1,34:20.1,-0.5
187964762,perfect charcoal albatross,1,MDAwMzIsMzcuNzk1MTEsLTEyMi4zOTM3OQA=,-108,31,0.75,SF10,1577223270,34:30.4,#ERROR!,32,37.79511,-122.39379,0,34:30.4,0.75
2638168410,perfect charcoal albatross,1,MDAwMzMsMzcuNzk1MTAsLTEyMi4zOTM4MQA=,-112,32,-5.75,SF10,1577223280,34:39.9,"00033,37.79510,-122.39381",33,37.7951,-122.39381,0,34:39.9,-5.75
,,,,,,,,,,,34,37.79511,-122.39379,,,
4090689374,perfect charcoal albatross,1,MDAwMzUsMzcuNzk1MTAsLTEyMi4zOTM3OQA=,-110,34,1.5,SF10,1577223300,34:59.8,"00035,37.79510,-122.39379",35,37.7951,-122.39379,0,34:59.8,1.5
2636605721,brave butter unicorn,1,MDAwMzYsMzcuNzk1MTIsLTEyMi4zOTM3NwA=,-87,35,-12.75,SF10,1577223310,35:10.2,"00036,37.79512,-122.39377",36,37.79512,-122.39377,0,35:10.2,-12.75
1692518862,perfect charcoal albatross,1,MDAwMzcsMzcuNzk1MTIsLTEyMi4zOTM3NwA=,-100,36,-14,SF10,1577223320,35:19.7,"00037,37.79512,-122.39377",37,37.79512,-122.39377,1,35:19.7,-10
2398375711,brave butter unicorn,1,MDAwMzgsMzcuNzk1MjIsLTEyMi4zOTM4NwA=,-110,37,-7,SF10,1577223330,35:30.0,"00038,37.79522,-122.39387",38,37.79522,-122.39387,1,35:30.0,-7.75
,,,,,,,,,,,39,37.79576,-122.39437,,,
,,,,,,,,,,,40,37.79648,-122.39501,,,
2271403242,perfect charcoal albatross,1,MDAwNDEsMzcuNzk3MjUsLTEyMi4zOTU2NgA=,-118,40,-8.5,SF10,1577223359,35:59.4,#ERROR!,41,37.79725,-122.39566,1,36:00.3,-4.75
575833751,helpful coffee sidewinder,1,MDAwNDIsMzcuNzk5MDAsLTEyMi4zOTczMAA=,-114,41,3,SF10,1577223379,36:19.3,#ERROR!,42,37.799,-122.3973,1,36:19.3,0.5
1716484788,future marmalade canary,1,MDAwNDMsMzcuNzk5ODAsLTEyMi4zOTgwNAA=,-104,42,5,SF10,1577223389,36:28.8,"00043,37.79980,-122.39804",43,37.7998,-122.39804,4,36:28.8,6.25
1086946236,interesting raisin chameleon,1,MDAwNDQsMzcuODAwNDAsLTEyMi4zOTg1NwA=,-117,43,-7,SF10,1577223399,36:39.2,"00044,37.80040,-122.39857",44,37.8004,-122.39857,0,36:39.2,-7
1252975543,interesting raisin chameleon,1,MDAwNDUsMzcuODAwNjAsLTEyMi4zOTg3NAA=,-120,44,-8.25,SF10,1577223409,36:48.7,"00045,37.80060,-122.39874",45,37.8006,-122.39874,2,36:48.7,0.25
105549580,brave butter unicorn,1,MDAwNDYsMzcuODAwNjAsLTEyMi4zOTg3NQA=,-111,45,-8.5,SF10,1577223419,36:59.0,#ERROR!,46,37.8006,-122.39875,3,36:59.0,3.25
936387332,future marmalade canary,1,MDAwNDcsMzcuODAwNjEsLTEyMi4zOTg3NgA=,-114,46,-3.75,SF10,1577223429,37:09.4,#ERROR!,47,37.80061,-122.39876,2,37:09.4,-1.25
2517452932,interesting raisin chameleon,1,MDAwNDgsMzcuODAwNjIsLTEyMi4zOTg3NgA=,-116,47,-2.75,SF10,1577223439,37:18.9,Loading...,48,37.80062,-122.39876,1,37:18.9,-4.25
3704758184,interesting raisin chameleon,1,MDAwNDksMzcuODAwNjcsLTEyMi4zOTg4MQA=,-113,48,-4.5,SF10,1577223449,37:29.3,#ERROR!,49,37.80067,-122.39881,1,37:29.3,-5.5
1512812478,brave butter unicorn,1,MDAwNTAsMzcuODAxMjMsLTEyMi4zOTkzMgA=,-115,49,-11.5,SF10,1577223459,37:38.8,"00050,37.80123,-122.39932",50,37.80123,-122.39932,1,37:38.8,-9.75
3273677245,future marmalade canary,1,MDAwNTEsMzcuODAyMTAsLTEyMi40MDAxMAA=,-114,50,-2.75,SF10,1577223469,37:49.2,"00051,37.80210,-122.40010",51,37.8021,-122.4001,0,37:49.2,-2.75
,,,,,,,,,,,52,37.80282,-122.40074,,,
3415018470,interesting raisin chameleon,1,MDAwNTMsMzcuODAyODcsLTEyMi40MDA3OQA=,-116,52,-6.75,SF10,1577223489,38:09.0,"00053,37.80287,-122.40079",53,37.80287,-122.40079,1,38:09.0,-17
,,,,,,,,,,,54,37.80288,-122.40079,,,
1413882350,interesting raisin chameleon,1,MDAwNTUsMzcuODAyODgsLTEyMi40MDA3OQA=,-120,54,-13,SF10,1577223509,38:28.9,"00055,37.80288,-122.40079",55,37.80288,-122.40079,1,38:28.9,-8
1042811559,interesting raisin chameleon,1,MDAwNTYsMzcuODAyODgsLTEyMi40MDA3OQA=,-118,55,-6.75,SF10,1577223519,38:39.3,"00056,37.80288,-122.40079",56,37.80288,-122.40079,0,38:39.3,-6.75
,,,,,,,,,,,57,37.80304,-122.40093,,,
,,,,,,,,,,,58,37.80369,-122.40153,,,
,,,,,,,,,,,59,37.8044,-122.40224,,,
,,,,,,,,,,,60,37.80503,-122.40308,,,
,,,,,,,,,,,61,37.80566,-122.40395,,,
,,,,,,,,,,,62,37.80632,-122.40493,,,
,,,,,,,,,,,63,37.80686,-122.40603,,,
,,,,,,,,,,,64,37.80737,-122.4071,,,
,,,,,,,,,,,65,37.80776,-122.40816,,,
,,,,,,,,,,,66,37.80809,-122.40896,,,
2369106792,gorgeous navy alpaca,1,MDAwNjcsMzcuODA4MTgsLTEyMi40MDk1MgA=,-113,66,-4.5,SF10,1577223633,40:33.3,"00067,37.80818,-122.40952",67,37.80818,-122.40952,0,40:33.3,-4.5
2041445344,gorgeous navy alpaca,1,MDAwNjgsMzcuODA4MjQsLTEyMi40MTAyNgA=,-112,67,-5.5,SF10,1577223639,40:39.4,#ERROR!,68,37.80824,-122.41026,0,40:39.4,-5.5
,,,,,,,,,,,69,37.80826,-122.41047,,,
,,,,,,,,,,,70,37.80825,-122.41047,,,
,,,,,,,,,,,71,37.80832,-122.41101,,,
,,,,,,,,,,,72,37.80848,-122.41202,,,
870096030,wide maroon wolverine,1,MDAwNzMsMzcuODA4NTIsLTEyMi40MTI0MwA=,-116,72,-3.5,SF10,1577223689,41:28.6,"00073,37.80852,-122.41243",73,37.80852,-122.41243,0,41:28.6,-3.5
1336656840,wide maroon wolverine,1,MDAwNzQsMzcuODA4NTIsLTEyMi40MTI0MQA=,-111,73,-3.5,SF10,1577223699,41:39.0,#ERROR!,74,37.80852,-122.41241,0,41:39.0,-3.5
3991238856,wide maroon wolverine,1,MDAwNzUsMzcuODA4NTEsLTEyMi40MTI0MQA=,-116,74,-3.75,SF10,1577223709,41:49.3,"00075,37.80851,-122.41241",75,37.80851,-122.41241,0,41:49.3,-3.75
888877519,wide maroon wolverine,1,MDAwNzYsMzcuODA4NTUsLTEyMi40MTI0MwA=,-114,75,-3.25,SF10,1577223719,41:58.8,#ERROR!,76,37.80855,-122.41243,0,41:58.8,-3.25
967887228,wide maroon wolverine,1,MDAwNzcsMzcuODA4NjAsLTEyMi40MTI0NQA=,-114,76,-4,SF10,1577223729,42:09.2,"00077,37.80860,-122.41245",77,37.8086,-122.41245,0,42:09.2,-4
1622235934,wide maroon wolverine,1,MDAwNzgsMzcuODA4NjQsLTEyMi40MTI0NQA=,-113,77,-3.25,SF10,1577223739,42:18.7,"00078,37.80864,-122.41245",78,37.80864,-122.41245,0,42:18.7,-3.25
,,,,,,,,,,,79,37.8086,-122.41306,,,
4095183569,gorgeous navy alpaca,1,MDAwODAsMzcuODA4NDksLTEyMi40MTM4OAA=,-115,79,-6.75,SF10,1577223761,42:41.2,"00080,37.80849,-122.41388",80,37.80849,-122.41388,0,42:41.2,-6.75
2036597500,gorgeous navy alpaca,1,MDAwODEsMzcuODA4NDAsLTEyMi40MTQ2MAA=,-118,80,-9.75,SF10,1577223769,42:49.0,#ERROR!,81,37.8084,-122.4146,0,42:49.0,-9.75
,,,,,,,,,,,82,37.80827,-122.41557,,,
4063214360,wide maroon wolverine,1,MDAwODMsMzcuODA4MTYsLTEyMi40MTY0OQA=,-114,82,-8.75,SF10,1577223789,43:08.8,"00083,37.80816,-122.41649",83,37.80816,-122.41649,0,43:08.8,-8.75
1947689547,wide maroon wolverine,1,MDAwODQsMzcuODA4MTAsLTEyMi40MTcwNgA=,-109,83,-6.5,SF10,1577223799,43:19.2,#ERROR!,84,37.8081,-122.41706,0,43:19.2,-6.5
,,,,,,,,,,,85,37.8081,-122.4171,,,
305917256,wide maroon wolverine,1,MDAwODYsMzcuODA4MDksLTEyMi40MTcxMwA=,-107,85,-4.25,SF10,1577223819,43:39.1,#ERROR!,86,37.80809,-122.41713,0,43:39.1,-4.25
1101586443,wide maroon wolverine,1,MDAwODcsMzcuODA4MDMsLTEyMi40MTc1NQA=,-108,86,-2.75,SF10,1577223829,43:48.6,"00087,37.80803,-122.41755",87,37.80803,-122.41755,0,43:48.6,-2.75
,,,,,,,,,,,88,37.80794,-122.41815,,,
,,,,,,,,,,,89,37.80786,-122.41877,,,
1046695586,gorgeous navy alpaca,1,MDAwOTAsMzcuODA3ODIsLTEyMi40MTkwNgA=,-117,89,-8.5,SF10,1577223859,44:18.8,#ERROR!,90,37.80782,-122.41906,0,44:18.8,-8.5
,,,,,,,,,,,91,37.80775,-122.41962,,,
,,,,,,,,,,,92,37.80767,-122.42023,,,
,,,,,,,,,,,93,37.80762,-122.42065,,,
,,,,,,,,,,,94,37.80735,-122.42075,,,
,,,,,,,,,,,95,37.80701,-122.42068,,,
,,,,,,,,,,,96,37.80674,-122.42066,,,
,,,,,,,,,,,97,37.80663,-122.42117,,,
,,,,,,,,,,,98,37.80654,-122.42188,,,
844351589,digital berry duck,1,MDAwOTksMzcuODA2NTEsLTEyMi40MjIxMAA=,-118,98,-13.25,SF10,1577223949,45:48.7,"00099,37.80651,-122.42210",99,37.80651,-122.4221,0,45:48.7,-13.25
,,,,,,,,,,,100,37.80647,-122.42235,,,
,,,,,,,,,,,101,37.80637,-122.42306,,,
,,,,,,,,,,,102,37.80629,-122.42372,,,
,,,,,,,,,,,103,37.80607,-122.42387,,,
,,,,,,,,,,,104,37.80559,-122.4238,,,
,,,,,,,,,,,105,37.80543,-122.42377,,,
2819342033,zealous cream swallow,1,MDAxMDYsMzcuODA1NDIsLTEyMi40MjM3NgA=,-122,105,-5.25,SF10,1577224020,47:00.4,#ERROR!,106,37.80542,-122.42376,1,47:00.4,-9.25
,,,,,,,,,,,107,37.80536,-122.42374,,,
,,,,,,,,,,,108,37.80525,-122.42426,,,
,,,,,,,,,,,109,37.80516,-122.425,,,
3770193363,festive cloth lemur,1,MDAxMTAsMzcuODA1MTMsLTEyMi40MjUyMAA=,-120,109,-7.5,SF10,1577224060,47:40.1,#ERROR!,110,37.80513,-122.4252,0,47:40.1,-7.5
,,,,,,,,,,,111,37.80465,-122.42535,,,
1406846248,chilly rainbow bear,1,MDAxMTIsMzcuODA0MjksLTEyMi40MjUyOAA=,-118,111,-5,SF10,1577224079,47:59.1,#ERROR!,112,37.80429,-122.42528,0,47:59.1,-5
3343055096,skinny cider scallop,1,MDAxMTMsMzcuODA0MjksLTEyMi40MjUyOAA=,-123,112,-3.5,SF10,1577224089,48:08.6,"00113,37.80429,-122.42528",113,37.80429,-122.42528,3,48:08.6,-6
,,,,,,,,,,,114,37.80423,-122.42529,,,
2170152255,chilly rainbow bear,1,MDAxMTUsMzcuODA0MTIsLTEyMi40MjU4NgA=,-120,114,-2.75,SF10,1577224109,48:29.4,"00115,37.80412,-122.42586",115,37.80412,-122.42586,0,48:29.4,-2.75
1945492860,festive cloth lemur,1,MDAxMTYsMzcuODA0MDUsLTEyMi40MjYzOQA=,-118,115,-8,SF10,1577224119,48:38.9,"00116,37.80405,-122.42639",116,37.80405,-122.42639,1,48:38.9,-2.5
3848786466,festive cloth lemur,1,MDAxMTcsMzcuODA0MDQsLTEyMi40MjY1MgA=,-116,116,-11.5,SF10,1577224129,48:49.2,#ERROR!,117,37.80404,-122.42652,1,48:49.2,1.5
45266359,chilly rainbow bear,1,MDAxMTgsMzcuODA0MDQsLTEyMi40MjY1MgA=,-120,117,0,SF10,1577224139,48:58.8,"00118,37.80404,-122.42652",118,37.80404,-122.42652,0,48:58.8,0
2737924161,chilly rainbow bear,1,MDAxMTksMzcuODAzOTksLTEyMi40MjY5OQA=,-107,118,-6.75,SF10,1577224149,49:09.1,#ERROR!,119,37.80399,-122.42699,0,49:09.1,-6.75
2914364058,chilly rainbow bear,1,MDAxMjAsMzcuODAzODYsLTEyMi40Mjc5MgA=,-118,119,2,SF10,1577224159,49:18.6,#ERROR!,120,37.80386,-122.42792,1,49:18.6,-7.25
3918853791,joyous burgundy chicken,1,MDAxMjEsMzcuODAzNzMsLTEyMi40Mjg5MAA=,-118,120,5.25,SF10,1577224169,49:29.0,#ERROR!,121,37.80373,-122.4289,2,49:29.0,3
861443534,festive cloth lemur,1,MDAxMjIsMzcuODAzNjEsLTEyMi40Mjk4OQA=,-106,121,10.5,SF10,1577224179,49:39.4,#ERROR!,122,37.80361,-122.42989,4,49:39.4,9.25
1173921231,mini orchid swallow,1,MDAxMjMsMzcuODAzNDksLTEyMi40MzA4OQA=,-120,122,-10.25,SF10,1577224190,49:49.7,"00123,37.80349,-122.43089",123,37.80349,-122.43089,0,49:49.7,-10.25
1452251986,joyous burgundy chicken,1,MDAxMjQsMzcuODAzNDYsLTEyMi40MzE2MwA=,-116,123,-6,SF10,1577224199,49:59.2,#ERROR!,124,37.80346,-122.43163,2,49:59.2,-7.75
1943531059,chilly rainbow bear,1,MDAxMjUsMzcuODA0MTIsLTEyMi40MzE4MQA=,-124,124,-4,SF10,1577224209,50:08.7,#ERROR!,125,37.80412,-122.43181,3,50:08.7,3.5
3222930736,joyous burgundy chicken,1,MDAxMjYsMzcuODA0ODcsLTEyMi40MzE5NgA=,-118,125,0,SF10,1577224219,50:19.1,#ERROR!,126,37.80487,-122.43196,0,50:19.1,0
1551832476,joyous burgundy chicken,1,MDAxMjcsMzcuODA1MjYsLTEyMi40MzIzMgA=,-116,126,-6,SF10,1577224229,50:28.6,"00127,37.80526,-122.43232",127,37.80526,-122.43232,1,50:28.6,9.75
619712185,zealous cream swallow,1,MDAxMjgsMzcuODA1MTQsLTEyMi40MzMxMQA=,-120,127,-4,SF10,1577224239,50:39.0,"00128,37.80514,-122.43311",128,37.80514,-122.43311,1,50:39.0,11.5
1697070051,chilly rainbow bear,1,MDAxMjksMzcuODA1MTAsLTEyMi40MzM0NQA=,-93,128,13.75,SF10,1577224249,50:49.3,"00129,37.80510,-122.43345",129,37.8051,-122.43345,0,50:49.3,13.75
3486118456,chilly rainbow bear,1,MDAxMzAsMzcuODA1MTAsLTEyMi40MzM0NgA=,-104,129,10.75,SF10,1577224259,50:58.8,"00130,37.80510,-122.43346",130,37.8051,-122.43346,0,50:58.8,10.75
154237579,chilly rainbow bear,1,MDAxMzEsMzcuODA1MTEsLTEyMi40MzM4MwA=,-104,130,5.5,SF10,1577224269,51:09.2,"00131,37.80511,-122.43383",131,37.80511,-122.43383,2,51:09.2,-0.5
1075189548,festive cloth lemur,1,MDAxMzIsMzcuODA1NjAsLTEyMi40MzQ2NQA=,-120,131,-13,SF10,1577224279,51:18.7,#ERROR!,132,37.8056,-122.43465,1,51:18.7,5.5
4229483540,zealous cream swallow,1,MDAxMzMsMzcuODA1OTMsLTEyMi40MzUxOQA=,-112,132,4.5,SF10,1577224289,51:29.1,#ERROR!,133,37.80593,-122.43519,4,51:29.1,1.5
1678486685,chilly rainbow bear,1,MDAxMzQsMzcuODA2MDUsLTEyMi40MzUzNwA=,-109,133,5.25,SF10,1577224299,51:38.6,"00134,37.80605,-122.43537",134,37.80605,-122.43537,0,51:38.6,5.25
1764727597,zealous cream swallow,1,MDAxMzUsMzcuODA2NDMsLTEyMi40MzU5NwA=,-116,134,-3,SF10,1577224309,51:49.0,"00135,37.80643,-122.43597",135,37.80643,-122.43597,1,51:49.0,-6
3325232631,genuine alabaster badger,1,MDAxMzYsMzcuODA2NTYsLTEyMi40MzY4MAA=,-118,135,-13.25,SF10,1577224320,52:00.2,"00136,37.80656,-122.43680",136,37.80656,-122.4368,0,52:00.2,-13.25
