fingerprint,gateway,oui,payload,rssi,sequence,snr,spreading,timestamp,date/time (pacific),payload (decoded),Sequence number,Lat,Long,Name,date/time,SNR
1383289707,dapper nylon rat,1,MDAyNTAsMzcuNzUzOTksLTEyMi40MTY2MgA=,-93,249,-4.5,SF10,1577228942,09:01.7,Loading...,250,37.75399,-122.41662,1,09:01.7,-6.25
2422712755,amateur clay stallion,1,MDAyNTEsMzcuNzU0MDIsLTEyMi40MTYwNQA=,-111,250,1.5,SF10,1577228952,09:12.1,#ERROR!,251,37.75402,-122.41605,0,09:12.1,1.5
3469217726,amateur clay stallion,1,MDAyNTIsMzcuNzU0MDYsLTEyMi40MTU0NwA=,-120,251,-1.25,SF10,1577228962,09:21.6,#ERROR!,252,37.75406,-122.41547,0,09:21.6,-1.25
,,,,,,,,,,,253,37.75412,-122.41486,,,
779214526,amateur clay stallion,1,MDAyNTQsMzcuNzU0MTUsLTEyMi40MTQ0NAA=,-116,253,-1.5,SF10,1577228982,09:42.3,"00254,37.75415,-122.41444",254,37.75415,-122.41444,1,09:42.3,-5.25
4135747873,amateur clay stallion,1,MDAyNTUsMzcuNzU0MTYsLTEyMi40MTQzOQA=,-117,254,-1.75,SF10,1577228992,09:51.8,"00255,37.75416,-122.41439",255,37.75416,-122.41439,0,09:51.8,-1.75
,,,,,,,,,,,256,37.75421,-122.41366,,,
,,,,,,,,,,,257,37.75423,-122.41328,,,
841282278,dapper nylon rat,1,MDAyNTgsMzcuNzU0MjYsLTEyMi40MTI2MAA=,-97,257,-5.25,SF10,1577229022,10:22.1,#ERROR!,258,37.75426,-122.4126,0,10:22.1,-5.25
3182299783,dapper nylon rat,1,MDAyNTksMzcuNzU0MjgsLTEyMi40MTIxOQA=,-100,258,4.5,SF10,1577229032,10:31.6,"00259,37.75428,-122.41219",259,37.75428,-122.41219,1,10:31.6,0.75
2190745053,dapper nylon rat,1,MDAyNjAsMzcuNzU0MzIsLTEyMi40MTE1MAA=,-112,259,-3,SF10,1577229042,10:42.0,"00260,37.75432,-122.41150",260,37.75432,-122.4115,1,10:42.0,4.25
2529593771,dapper nylon rat,1,MDAyNjEsMzcuNzU0MzQsLTEyMi40MTEwMwA=,-106,260,-1.5,SF10,1577229052,10:52.3,#ERROR!,261,37.75434,-122.41103,0,10:52.3,-1.5
3767165209,amateur clay stallion,1,MDAyNjIsMzcuNzU0MzcsLTEyMi40MTAzNQA=,-108,261,3.5,SF10,1577229062,11:01.8,#ERROR!,262,37.75437,-122.41035,0,11:01.8,3.5
974376561,amateur clay stallion,1,MDAyNjMsMzcuNzU0NDIsLTEyMi40MDk2OQA=,-110,262,9,SF10,1577229072,11:12.2,"00263,37.75442,-122.40969",263,37.75442,-122.40969,0,11:12.2,9
1640373772,amateur clay stallion,1,MDAyNjQsMzcuNzU0NDYsLTEyMi40MDkzMgA=,-102,263,8,SF10,1577229082,11:21.7,#ERROR!,264,37.75446,-122.40932,1,11:21.7,5.5
2039040087,dapper nylon rat,1,MDAyNjUsMzcuNzU0NTAsLTEyMi40MDg1MgA=,-93,264,3,SF10,1577229092,11:32.1,"00265,37.75450,-122.40852",265,37.7545,-122.40852,0,11:32.1,3
2665758458,dapper nylon rat,1,MDAyNjYsMzcuNzU0NTIsLTEyMi40MDc4OAA=,-105,265,1,SF10,1577229102,11:42.4,#ERROR!,266,37.75452,-122.40788,1,11:42.4,4.25
1347029131,amateur clay stallion,1,MDAyNjcsMzcuNzU0NTcsLTEyMi40MDc0MgA=,-109,266,-3,SF10,1577229112,11:51.9,"00267,37.75457,-122.40742",267,37.75457,-122.40742,1,11:51.9,0
2702514450,dapper nylon rat,1,MDAyNjgsMzcuNzU0NjIsLTEyMi40MDY5NQA=,-104,267,3.75,SF10,1577229122,12:02.3,"00268,37.75462,-122.40695",268,37.75462,-122.40695,1,12:02.3,4.75
,,,,,,,,,,,269,37.75463,-122.40685,,,
,,,,,,,,,,,270,37.75463,-122.40669,,,
1624218488,dapper nylon rat,1,MDAyNzEsMzcuNzU0NTcsLTEyMi40MDY1NwA=,-91,270,-12.25,SF10,1577229152,12:31.7,"00271,37.75457,-122.40657",271,37.75457,-122.40657,0,12:31.7,-12.25
1916083444,amateur clay stallion,1,MDAyNzIsMzcuNzU0MzcsLTEyMi40MDY0NgA=,-114,271,5,SF10,1577229162,12:42.0,"00272,37.75437,-122.40646",272,37.75437,-122.40646,0,12:42.0,5
3129023449,dapper nylon rat,1,MDAyNzMsMzcuNzU0MTYsLTEyMi40MDU4MAA=,-108,272,0,SF10,1577229172,12:52.4,#ERROR!,273,37.75416,-122.4058,1,12:52.4,0.5
2269525373,dapper nylon rat,1,MDAyNzQsMzcuNzU0MjYsLTEyMi40MDUyNAA=,-100,273,-6.75,SF10,1577229182,13:01.9,"00274,37.75426,-122.40524",274,37.75426,-122.40524,0,13:01.9,-6.75
3074957756,dapper nylon rat,1,MDAyNzUsMzcuNzU0MzgsLTEyMi40MDQ0MgA=,-96,274,6.5,SF10,1577229192,13:12.3,#ERROR!,275,37.75438,-122.40442,1,13:12.3,-2
1153088981,short inky cuckoo,1,MDAyNzYsMzcuNzU0NDMsLTEyMi40MDM3MgA=,-120,275,-11.25,SF10,1577229203,13:22.7,"00276,37.75443,-122.40372",276,37.75443,-122.40372,1,13:21.8,2.5
2555529701,short inky cuckoo,1,MDAyNzcsMzcuNzU0NDksLTEyMi40MDMxOAA=,-122,276,-10,SF10,1577229212,13:32.2,"00277,37.75449,-122.40318",277,37.75449,-122.40318,1,13:32.2,4.25
2072559988,amateur clay stallion,1,MDAyNzgsMzcuNzU0NTMsLTEyMi40MDI2OAA=,-118,277,-0.5,SF10,1577229222,13:41.7,"00278,37.75453,-122.40268",278,37.75453,-122.40268,2,13:41.7,-7.5
675457627,dapper nylon rat,1,MDAyNzksMzcuNzU0NTcsLTEyMi40MDE5MQA=,-94,278,-3.75,SF10,1577229232,13:52.0,#ERROR!,279,37.75457,-122.40191,0,13:52.0,-3.75
1471171522,dapper nylon rat,1,MDAyODAsMzcuNzU0NTksLTEyMi40MDE0MQA=,-96,279,5.5,SF10,1577229242,14:02.4,#ERROR!,280,37.75459,-122.40141,0,14:02.4,5.5
1136235214,dapper nylon rat,1,MDAyODEsMzcuNzU0NjQsLTEyMi40MDA4MwA=,-100,280,5.5,SF10,1577229252,14:11.9,#ERROR!,281,37.75464,-122.40083,1,14:11.9,-3.5
2520929398,dapper nylon rat,1,MDAyODIsMzcuNzU0NjcsLTEyMi40MDAzNAA=,-104,281,2.75,SF10,1577229262,14:22.3,#ERROR!,282,37.75467,-122.40034,0,14:22.3,2.75
1943790016,amateur clay stallion,1,MDAyODMsMzcuNzU0NjksLTEyMi4zOTk4MwA=,-105,282,8.25,SF10,1577229272,14:31.8,#ERROR!,283,37.75469,-122.39983,2,14:31.8,2
1208105567,dapper nylon rat,1,MDAyODQsMzcuNzU0MzUsLTEyMi4zOTk3MAA=,-104,283,-0.25,SF10,1577229282,14:42.1,#ERROR!,284,37.75435,-122.3997,2,14:42.1,1
1048618690,immense mercurial crocodile,1,MDAyODUsMzcuNzUzOTAsLTEyMi4zOTk1OAA=,-106,284,-3.25,SF10,1577229292,14:51.6,#ERROR!,285,37.7539,-122.39958,2,14:53.4,-8
3687189653,amateur clay stallion,1,MDAyODYsMzcuNzUzMzAsLTEyMi4zOTk1MQA=,-116,285,6.25,SF10,1577229302,15:02.0,"00286,37.75330,-122.39951",286,37.7533,-122.39951,11,15:02.9,0.25
3947755558,short inky cuckoo,1,MDAyODcsMzcuNzUyNjUsLTEyMi4zOTk0OAA=,-123,286,-4.25,SF10,1577229312,15:12.4,"00287,37.75265,-122.39948",287,37.75265,-122.39948,0,15:12.4,-4.25
,,,,,,,,,,,288,37.75248,-122.39928,,,
340320998,amateur clay stallion,1,MDAyODksMzcuNzUyNDUsLTEyMi4zOTkwMAA=,-110,288,-10.25,SF10,1577229332,15:32.3,"00289,37.75245,-122.39900",289,37.75245,-122.399,0,15:32.3,-10.25
,,,,,,,,,,,290,37.75262,-122.39863,,,
,,,,,,,,,,,291,37.75284,-122.39854,,,
,,,,,,,,,,,292,37.75333,-122.39858,,,
,,,,,,,,,,,293,37.75365,-122.39859,,,
2659797705,amateur clay stallion,1,MDAyOTQsMzcuNzU0MTcsLTEyMi4zOTg2NAA=,-117,293,-4.5,SF10,1577229382,16:22.4,"00294,37.75417,-122.39864",294,37.75417,-122.39864,1,16:23.2,-8.5
3796361650,innocent maroon swift,1,MDAyOTUsMzcuNzU0NjUsLTEyMi4zOTg2OAA=,-118,294,-16,SF10,1577229392,16:31.9,"00295,37.75465,-122.39868",295,37.75465,-122.39868,0,16:31.9,-16
19629359,amateur clay stallion,1,MDAyOTYsMzcuNzU1MDYsLTEyMi4zOTg3MgA=,-106,295,4.25,SF10,1577229402,16:42.2,#ERROR!,296,37.75506,-122.39872,1,16:42.2,-2
2331310921,gorgeous carbon iguana,1,MDAyOTcsMzcuNzU1NjksLTEyMi4zOTg3NwA=,-122,296,-12.5,SF10,1577229412,16:51.7,"00297,37.75569,-122.39877",297,37.75569,-122.39877,0,16:51.7,-12.5
3640285781,big gunmetal blackbird,1,MDAyOTgsMzcuNzU2MTEsLTEyMi4zOTg4MwA=,-120,297,-5.75,SF10,1577229423,17:03.0,#ERROR!,298,37.75611,-122.39883,1,17:02.1,-0.25
,,,,,,,,,,,299,37.75689,-122.39889,,,
4059633864,jumpy spruce bison,1,MDAzMDAsMzcuNzU3MjQsLTEyMi4zOTg5MAA=,-120,299,-4.75,SF10,1577229442,17:22.0,"00300,37.75724,-122.39890",300,37.75724,-122.3989,2,17:22.8,-5.25
1993852125,big gunmetal blackbird,1,MDAzMDEsMzcuNzU3MjUsLTEyMi4zOTg5MAA=,-118,300,-7.25,SF10,1577229452,17:32.4,"00301,37.75725,-122.39890",301,37.75725,-122.3989,4,17:32.4,-11.5
2961386865,big gunmetal blackbird,1,MDAzMDIsMzcuNzU3MzAsLTEyMi4zOTg5MQA=,-115,301,-6.75,SF10,1577229462,17:41.9,#ERROR!,302,37.7573,-122.39891,1,17:41.9,-0.5
2977707772,witty tortilla parrot,1,MDAzMDMsMzcuNzU3NjksLTEyMi4zOTg5NQA=,-122,302,1,SF10,1577229472,17:52.2,"00303,37.75769,-122.39895",303,37.75769,-122.39895,3,17:52.2,-1.75
3985654292,jumpy spruce bison,1,MDAzMDQsMzcuNzU3OTIsLTEyMi4zOTg5OAA=,-123,303,-5.75,SF10,1577229482,18:01.7,"00304,37.75792,-122.39898",304,37.75792,-122.39898,2,18:01.7,-3.75
2607075362,jumpy spruce bison,1,MDAzMDUsMzcuNzU4MzQsLTEyMi4zOTkwMgA=,-122,304,-3.75,SF10,1577229492,18:12.1,"00305,37.75834,-122.39902",305,37.75834,-122.39902,0,18:12.1,-3.75
1835514926,witty tortilla parrot,1,MDAzMDYsMzcuNzU4ODcsLTEyMi4zOTkwNwA=,-106,305,-1.75,SF10,1577229502,18:21.6,"00306,37.75887,-122.39907",306,37.75887,-122.39907,1,18:21.6,2.5
3581666267,muscular lavender owl,1,MDAzMDcsMzcuNzU5MzYsLTEyMi4zOTkxMgA=,-118,306,1.25,SF10,1577229512,18:32.0,"00307,37.75936,-122.39912",307,37.75936,-122.39912,0,18:32.0,1.25
3796714220,muscular lavender owl,1,MDAzMDgsMzcuNzU5NzcsLTEyMi4zOTkxNQA=,-118,307,-9,SF10,1577229522,18:42.3,"00308,37.75977,-122.39915",308,37.75977,-122.39915,2,18:42.3,1.25
3897087421,big gunmetal blackbird,1,MDAzMDksMzcuNzYwMDQsLTEyMi4zOTkxOQA=,-115,308,-4.75,SF10,1577229532,18:51.8,#ERROR!,309,37.76004,-122.39919,2,18:51.8,1.25
4074281965,jumpy spruce bison,1,MDAzMTAsMzcuNzYwNTQsLTEyMi4zOTkyNQA=,-118,309,-0.5,SF10,1577229542,19:02.2,"00310,37.76054,-122.39925",310,37.76054,-122.39925,2,19:02.2,-14
287403957,jumpy spruce bison,1,MDAzMTEsMzcuNzYxMDQsLTEyMi4zOTkyNwA=,-118,310,-5,SF10,1577229552,19:11.7,#ERROR!,311,37.76104,-122.39927,2,19:11.7,6
1750845114,witty tortilla parrot,1,MDAzMTIsMzcuNzYxMTcsLTEyMi4zOTkwNAA=,-106,311,5.5,SF10,1577229562,19:22.1,"00312,37.76117,-122.39904",312,37.76117,-122.39904,1,19:22.9,-8
1349718463,big gunmetal blackbird,1,MDAzMTMsMzcuNzYxMjAsLTEyMi4zOTg1MQA=,-117,312,-13.25,SF10,1577229572,19:31.6,"00313,37.76120,-122.39851",313,37.7612,-122.39851,0,19:31.6,-13.25
,,,,,,,,,,,314,37.76123,-122.39798,,,
3657024487,big gunmetal blackbird,1,MDAzMTUsMzcuNzYxMjYsLTEyMi4zOTc0MgA=,-116,314,-5.5,SF10,1577229592,19:52.3,"00315,37.76126,-122.39742",315,37.76126,-122.39742,1,19:52.3,-4.5
,,,,,,,,,,,316,37.7613,-122.39664,,,
,,,,,,,,,,,317,37.76133,-122.3961,,,
2819251119,dandy sangria okapi,1,MDAzMTgsMzcuNzYxMzYsLTEyMi4zOTU1NwA=,-115,317,-13.25,SF10,1577229622,20:21.7,#ERROR!,318,37.76136,-122.39557,3,20:21.7,-10.25
3665212813,eager banana crane,1,MDAzMTksMzcuNzYxNDEsLTEyMi4zOTQ5MgA=,-111,318,-6,SF10,1577229633,20:32.9,Loading...,319,37.76141,-122.39492,0,20:32.9,-6
130455135,dandy sangria okapi,1,MDAzMjAsMzcuNzYxNDQsLTEyMi4zOTQ1MQA=,-117,319,-7.25,SF10,1577229642,20:42.4,"00320,37.76144,-122.39451",320,37.76144,-122.39451,4,20:42.4,-1.75
1260267646,eager banana crane,1,MDAzMjEsMzcuNzYxNDcsLTEyMi4zOTM4MwA=,-112,320,-5.75,SF10,1577229652,20:51.9,#ERROR!,321,37.76147,-122.39383,0,20:51.9,-5.75
,,,,,,,,,,,322,37.76162,-122.39352,,,
1546338040,quaint cornflower dove,1,MDAzMjMsMzcuNzYyMjUsLTEyMi4zOTM1OQA=,-115,322,-13.75,SF10,1577229674,21:14.4,"00323,37.76225,-122.39359",323,37.76225,-122.39359,0,21:14.4,-13.75
,,,,,,,,,,,324,37.7627,-122.39364,,,
,,,,,,,,,,,325,37.76312,-122.39368,,,
,,,,,,,,,,,326,37.76374,-122.39373,,,
,,,,,,,,,,,327,37.76397,-122.39375,,,
,,,,,,,,,,,328,37.76405,-122.39327,,,
251311601,magic scarlet hippo,1,MDAzMjksMzcuNzY0MTUsLTEyMi4zOTI3MwA=,-118,328,-15.75,SF10,1577229733,22:13.2,"00329,37.76415,-122.39273",329,37.76415,-122.39273,1,22:12.3,0.75
,,,,,,,,,,,330,37.76415,-122.39262,,,
,,,,,,,,,,,331,37.76419,-122.39246,,,
372667802,eager banana crane,1,MDAzMzIsMzcuNzY0MTksLTEyMi4zOTIzMwA=,-116,331,2.5,SF10,1577229762,22:41.7,"00332,37.76419,-122.39233",332,37.76419,-122.39233,2,22:41.7,3.75
3400780801,magic scarlet hippo,1,MDAzMzMsMzcuNzY0MTgsLTEyMi4zOTIzMQA=,-117,332,-11.25,SF10,1577229772,22:52.0,#ERROR!,333,37.76418,-122.39231,2,22:52.0,2.25
3221295046,eager banana crane,1,MDAzMzQsMzcuNzY0MTcsLTEyMi4zOTIyNgA=,-110,333,-6,SF10,1577229782,23:02.4,#ERROR!,334,37.76417,-122.39226,0,23:02.4,-6
3889585112,magic scarlet hippo,1,MDAzMzUsMzcuNzY0MTYsLTEyMi4zOTIyNgA=,-122,334,-10,SF10,1577229792,23:11.9,"00335,37.76416,-122.39226",335,37.76416,-122.39226,0,23:11.9,-10
2565133341,magic scarlet hippo,1,MDAzMzYsMzcuNzY0MTUsLTEyMi4zOTIyNwA=,-122,335,-12.75,SF10,1577229802,23:22.3,"00336,37.76415,-122.39227",336,37.76415,-122.39227,1,23:22.3,0.5
,,,,,,,,,,,337,37.76421,-122.39191,,,
3335556028,eager banana crane,1,MDAzMzgsMzcuNzY0MjYsLTEyMi4zOTA5NQA=,-117,337,0.75,SF10,1577229822,23:42.1,"00338,37.76426,-122.39095",338,37.76426,-122.39095,1,23:42.1,3
2459643116,eager banana crane,1,MDAzMzksMzcuNzY0MzQsLTEyMi4zODk2OQA=,-112,338,-1,SF10,1577229832,23:51.6,"00339,37.76434,-122.38969",339,37.76434,-122.38969,0,23:51.6,-1
191986025,eager banana crane,1,MDAzNDAsMzcuNzY0MzksLTEyMi4zODkxMQA=,-109,339,-1.5,SF10,1577229842,24:02.0,#ERROR!,340,37.76439,-122.38911,0,24:02.0,-1.5
4257831275,magic scarlet hippo,1,MDAzNDEsMzcuNzY0MzksLTEyMi4zODkxNAA=,-116,340,-13,SF10,1577229852,24:12.4,#ERROR!,341,37.76439,-122.38914,2,24:12.4,8.75
2610577665,magic scarlet hippo,1,MDAzNDIsMzcuNzY0MzksLTEyMi4zODkxNAA=,-114,341,-2.75,SF10,1577229862,24:21.9,"00342,37.76439,-122.38914",342,37.76439,-122.38914,1,24:21.9,7.75
706268717,mythical jade tarantula,1,MDAzNDMsMzcuNzY0MzgsLTEyMi4zODkxNAA=,-105,342,-0.25,SF10,1577229872,24:32.3,#ERROR!,343,37.76438,-122.38914,0,24:32.3,-0.25
3371366428,eager banana crane,1,MDAzNDQsMzcuNzY0MzgsLTEyMi4zODkxNAA=,-106,343,8.5,SF10,1577229882,24:41.8,"00344,37.76438,-122.38914",344,37.76438,-122.38914,1,24:41.8,-12.5
2278684978,magic scarlet hippo,1,MDAzNDUsMzcuNzY0MzcsLTEyMi4zODkxNAA=,-117,344,-8.75,SF10,1577229892,24:52.1,#ERROR!,345,37.76437,-122.38914,1,24:52.1,1
3561908088,eager banana crane,1,MDAzNDYsMzcuNzY0MzYsLTEyMi4zODkxNAA=,-93,345,6.75,SF10,1577229902,25:01.6,#ERROR!,346,37.76436,-122.38914,2,25:01.6,1.75
929621255,magic scarlet hippo,1,MDAzNDcsMzcuNzY0MzUsLTEyMi4zODkxNAA=,-117,346,-12.75,SF10,1577229912,25:12.0,#ERROR!,347,37.76435,-122.38914,1,12/24/2019 15:25,-7
523974604,eager banana crane,1,MDAzNDgsMzcuNzY0NTQsLTEyMi4zODg4MAA=,-107,347,2.75,SF10,1577229922,25:22.4,"00348,37.76454,-122.38880",348,37.76454,-122.3888,0,25:22.4,2.75
1871626075,mythical jade tarantula,1,MDAzNDksMzcuNzY1MzIsLTEyMi4zODg4OQA=,-104,348,7.5,SF10,1577229932,25:31.9,"00349,37.76532,-122.38889",349,37.76532,-122.38889,1,25:31.9,-9.25
4257910830,eager banana crane,1,MDAzNTAsMzcuNzY2MTgsLTEyMi4zODg5NQA=,-98,349,5.75,SF10,1577229942,25:42.2,#ERROR!,350,37.76618,-122.38895,0,25:42.2,5.75
1307996960,eager banana crane,1,MDAzNTEsMzcuNzY2NTcsLTEyMi4zODg5NQA=,-110,350,0.25,SF10,1577229952,25:51.7,"00351,37.76657,-122.38895",351,37.76657,-122.38895,2,25:51.7,-9.5
663303929,dapper nylon rat,1,MDAzNTIsMzcuNzY2NTQsLTEyMi4zODg5OAA=,-112,351,-6.75,SF10,1577229962,26:02.1,"00352,37.76654,-122.38898",352,37.76654,-122.38898,2,26:02.1,4.5
1607873380,mythical jade tarantula,1,MDAzNTMsMzcuNzY2NTEsLTEyMi4zODkwNQA=,-104,352,3.75,SF10,1577229972,26:11.6,"00353,37.76651,-122.38905",353,37.76651,-122.38905,1,26:11.6,1
2135823402,dandy sangria okapi,1,MDAwMDEsSU5WQUxJRCxJTlZBTElEAA==,-117,0,-13.5,SF10,1577230748,39:08.4,#ERROR!,1,37.76651,-122.38905,3,39:06.6,10.5
3065876561,brave butter unicorn,1,MDAwMDIsMzcuNzkxMzUsLTEyMi4zOTQ4NAA=,-96,1,0.75,SF10,1577230757,39:17.0,#ERROR!,2,37.79135,-122.39484,2,39:17.0,5.75
2264418102,perfect charcoal albatross,1,MDAwMDMsMzcuNzkxMjQsLTEyMi4zOTUxNgA=,-97,2,-0.75,SF10,1577230767,39:27.4,"00003,37.79124,-122.39516",3,37.79124,-122.39516,1,39:27.4,2.5
2667895792,quick paisley pony,1,MDAwMDQsMzcuNzkyMjcsLTEyMi4zOTQ2MgA=,-117,3,-4.75,SF10,1577230777,39:36.9,"00004,37.79227,-122.39462",4,37.79227,-122.39462,1,39:36.9,3.5
2747389771,brave butter unicorn,1,MDAwMDUsMzcuNzkzMDUsLTEyMi4zOTQyOAA=,-85,4,5.25,SF10,1577230787,39:47.2,"00005,37.79305,-122.39428",5,37.79305,-122.39428,1,39:47.2,11
2415139894,perfect charcoal albatross,1,MDAwMDYsMzcuNzkzNjQsLTEyMi4zOTUwMAA=,-88,5,7.5,SF10,1577230797,39:56.7,#ERROR!,6,37.79364,-122.395,1,39:56.7,-14
2384783648,perfect charcoal albatross,1,MDAwMDcsMzcuNzkzODUsLTEyMi4zOTUzNgA=,-94,6,6,SF10,1577230807,40:07.1,"00007,37.79385,-122.39536",7,37.79385,-122.39536,0,40:07.1,6
1044068395,brave butter unicorn,1,MDAwMDgsMzcuNzkzODcsLTEyMi4zOTU1NgA=,-88,7,-2.25,SF10,1577230817,40:16.6,"00008,37.79387,-122.39556",8,37.79387,-122.39556,1,40:16.6,-8.5
2674193722,perfect charcoal albatross,1,MDAwMTAsMzcuNzkzOTAsLTEyMi4zOTU1MwA=,-109,9,0.75,SF10,1577230837,40:37.3,"00010,37.79390,-122.39553",10,37.7939,-122.39553,2,40:37.3,3
86729451,brave butter unicorn,1,MDAwMTEsSU5WQUxJRCxJTlZBTElEAA==,-100,10,4,SF10,1577230847,40:46.8,"00011,INVALID,INVALID",11,37.7939,-122.39553,1,40:46.8,2.25
3941980527,brave butter unicorn,1,MDAwMTIsMzcuNzkzMTMsLTEyMi4zOTQzMwA=,-89,11,2.25,SF10,1577230857,40:57.2,#ERROR!,12,37.79313,-122.39433,1,40:57.2,9
3255982679,brave butter unicorn,1,MDAwMTMsMzcuNzkyODQsLTEyMi4zOTQzNgA=,-90,12,3.25,SF10,1577230867,41:06.7,#ERROR!,13,37.79284,-122.39436,1,41:06.7,7.25
1222318745,perfect charcoal albatross,1,MDAwMTQsMzcuNzkyODMsLTEyMi4zOTQzNgA=,-99,13,8.75,SF10,1577230877,41:17.1,#ERROR!,14,37.79283,-122.39436,1,41:17.1,3.5
818636402,brave butter unicorn,1,MDAwMTUsMzcuNzkyODMsLTEyMi4zOTQzNgA=,-98,14,3.75,SF10,1577230887,41:26.6,#ERROR!,15,37.79283,-122.39436,1,41:26.6,9.25
1149419422,perfect charcoal albatross,1,MDAwMTYsMzcuNzkyODIsLTEyMi4zOTQzNAA=,-96,15,-3.25,SF10,1577230897,41:37.0,"00016,37.79282,-122.39434",16,37.79282,-122.39434,0,41:37.0,-3.25
1811558670,perfect charcoal albatross,1,MDAwMTcsMzcuNzkyNzYsLTEyMi4zOTQzOAA=,-94,16,11.75,SF10,1577230907,41:47.3,"00017,37.79276,-122.39438",17,37.79276,-122.39438,1,41:47.3,4.25
2146962947,brave butter unicorn,1,MDAwMTgsMzcuNzkyNjcsLTEyMi4zOTQ0NQA=,-89,17,2.5,SF10,1577230917,41:56.8,"00018,37.79267,-122.39445",18,37.79267,-122.39445,2,41:56.8,-10
2006433184,quick paisley pony,1,MDAwMTksMzcuNzkyNTksLTEyMi4zOTQ0NQA=,-117,18,-10.75,SF10,1577230927,42:07.2,"00019,37.79259,-122.39445",19,37.79259,-122.39445,1,42:07.2,6
531838155,brave butter unicorn,1,MDAwMjAsMzcuNzkyNTksLTEyMi4zOTQ0MgA=,-91,19,3.25,SF10,1577230937,42:16.7,"00020,37.79259,-122.39442",20,37.79259,-122.39442,0,42:16.7,3.25
